"Country";"Frequency Range";"Allocations";"Applications"
"- United States -";"7.125 - 7.175 MHz";"Amateur (Extra, phone)";""
"- United States -";"7.175 - 7.3 MHz";"Amateur (General/Extra, phone)";""
"- United States -";"7.3 - 7.4 MHz";"Broadcasting (International)";""
"- United States -";"7.4 - 8.1 MHz";"Fixed/Mobile except aeronautical mobile (R)";""
"- United States -";"8.1 - 8.195 MHz";"Fixed/Maritime Mobile";""
"- United States -";"8.1 - 8.195 MHz";"Fixed/Maritime Mobile";""
"- United States -";"8.195 - 8.815 MHz";"Maritime Mobile";""
"- United States -";"8.815 - 8.965 MHz";"Aeronautical Mobile (R)";""
"- United States -";"8.965 - 9.04 MHz";"Aeronautical Mobile (OR)";""
"- United States -";"9.04 - 9.4 MHz";"Fixed";""
"- United States -";"9.4 - 9.9 MHz";"Broadcasting (International)";""
"- United States -";"9.9 - 9.995 MHz";"Fixed";""
"- United States -";"9.995 - 10.005 MHz";"Standard Frequency and Time Signal (10 MHz)";""
"- United States -";"10.005 - 10.1 MHz";"Aeronautical Mobile (R)";""
"- United States -";"10.1 - 10.15 MHz";"Amateur (General/Extra, data)";""
"- United States -";"10.15 - 11.175 MHz";"Fixed/Mobile except aeronautical mobile (R)";""
"- United States -";"11.175 - 11.275 MHz";"Aeronautical Mobile (OR)";""
"- United States -";"11.275 - 11.4 MHz";"Aeronautical Mobile (R)";""
"- United States -";"11.4 - 11.6 MHz";"Fixed";""
"- United States -";"11.6 - 12.1 MHz";"Broadcasting (International)";""
"- United States -";"12.1 - 12.23 MHz";"Fixed";""
"- United States -";"12.23 - 13.2 MHz";"Maritime Mobile";""
"- United States -";"13.2 - 13.26 MHz";"Aeronautical Mobile (OR)";""
"- United States -";"13.26 - 13.36 MHz";"Aeronautical Mobile (R)";""
"- United States -";"13.36 - 13.41 MHz";"Radio Astronomy";""
"- United States -";"13.41 - 13.45 MHz";"Fixed/Mobile except aeronautical mobile (R)/Fixed";""
"- United States -";"13.45 - 13.55 MHz";"Fixed/Mobile except aeronautical mobile (R)/Radiolocation/Fixed/Radiolocation";""
"- United States -";"13.55 - 13.57 MHz";"Fixed/Mobile except aeronautical mobile (R)/Fixed";""
"- United States -";"13.57 - 13.87 MHz";"Broadcasting (International)";""
"- United States -";"13.87 - 14 MHz";"Fixed/Mobile except aeronautical mobile (R)/Fixed";""
"- United States -";"14 - 14.025 MHz";"Amateur (Extra, data)";""
"- United States -";"14.025 - 14.15 MHz";"Amateur (General/Extra, data)";""
"- United States -";"14.15 - 14.225 MHz";"Amateur (Extra, phone)";""
"- United States -";"14.225 - 14.35 MHz";"Amateur(General/Extra, phone)";""
"- United States -";"14.35 - 14.99 MHz";"Fixed/Mobile except aeronautical mobile (R)/Fixed";""
"- United States -";"14.99 -15.01 MHz";"Standard Frequency and Time Signal (15 MHz)";""
"- United States -";"15.01 - 15.1 MHz";"Aeronautical Mobile (OR)";""
